Author,Comment,Published At
@cantthinkofahandle_80085,They look so awkward in the video lol.,2025-02-09T18:54:19Z
@linolinho8,Both of your visuals are excellent😭🤏🏻,2025-02-09T17:23:02Z
@amrendrakumar1811,Loved this ❤,2025-02-09T15:51:23Z
@obbieadm817,Ie lagu madep ker ngahuleung gaiss 😅,2025-02-09T15:44:39Z
@rottenpotato5653,anyone knows what font he used??,2025-02-09T13:30:02Z
@PemaYangsel-f6v,˚˖𓍢ִ⁠໋🌷͙֒✧˚.🎀༘⋆,2025-02-09T08:55:03Z
@AmitKumar-kn6pn,"If this comment gets 1k likes, I will ask my cousin out.",2025-02-09T07:38:00Z
@leon.x_me,Just dropped a masterpiece ⚡💫,2025-02-09T06:51:46Z
@jahrumahatadonor,my therapy😊,2025-02-09T05:48:32Z
@alexmwan88,"if thy comment got 1k, i’ll also ask my crush out",2025-02-09T03:21:03Z
@HmangaihropuiaPuipuia,"If this comment hit 4k likes,than i will proposed my  girlfriend",2025-02-09T03:16:50Z
@leenaa2509,This song is very melodious and nice to listen,2025-02-09T03:13:31Z
@ZunitaRinga,I can't stop listening this song 💫🌸🌸💗,2025-02-09T02:49:00Z
@TheRiseBlueprint-777,"Incredible song, Yung Kai ❤😊",2025-02-09T02:13:33Z
@Lianas8,0:50 hits da spot,2025-02-08T22:30:33Z
@MariaLauraBromeschengerdaC-v4l,🤍🌊✨️,2025-02-08T22:16:19Z
@IdkBru-cg4qi,why does this remind of my childhood,2025-02-08T20:37:42Z
@dineshrai1411,https://youtu.be/gvR5bDCNqjA?si=5TYgEEaNjRKnHjK1,2025-02-08T19:44:18Z
@reyjegardaufvj,The beginning sounded like Paige's summer,2025-02-08T17:28:43Z
@yyoothgta9457,Much love f4om Alaska!❤,2025-02-08T16:47:01Z
@edited_0131,<3,2025-02-08T16:01:49Z
@Nothing2do,"I literally thought the main part was hindi when i first heard it-


IM IN LOVE WITH THE VIDEO QUALITY",2025-02-08T15:39:49Z
